source_id,source_label,source_parent,level,citizen_category,display_name,rationale,provenance
L2-S055,"Seguro contra accidentes personales de escolares, va segur@",Educación,2,Educación,"Seguro contra accidentes personales de escolares, va segur@",Se clasifica en Educación por fallback sobre desc_funcion ('Educación').,funcion
L2-U046,Ayudas por Afectaciones de Obra Pública,Apoyos sociales,2,Apoyos sociales,Ayudas por Afectaciones de Obra Pública,Compensaciones por afectaciones de obra.,explicit
L2-E104,Profesionalización y evaluación del servidor público para el buen gobierno,Educación,2,Educación,Profesionalización y evaluación del servidor público para el buen gobierno,Se clasifica en Educación por fallback sobre desc_funcion ('Educación').,funcion
L2-S035,Programa alimentos escolares,Educación,2,Educación,Alimentos Escolares,Programa de alimentos escolares — DIF.,explicit
L2-F005,Desarrollo y Promoción de Productos y Proyectos Turísticos Sustentables,Otros,2,Otros,Promoción Turística,Desarrollo y promoción de productos turísticos sustentables.,explicit
L2-P025,"Planeación, elaboración y seguimiento de la política de desarrollo económico",Gobierno y administración,2,Gobierno y administración,"Planeación, elaboración y seguimiento de la política de desarrollo económico",Se clasifica en Gobierno y administración por regla de palabra clave sobre el nombre del programa.,keyword
L2-S151,Programa de apoyo a personas con Discapacidad,Apoyos sociales,2,Apoyos sociales,Programa de apoyo a personas con Discapacidad,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Otros Asuntos Sociales').,funcion
L2-S095,Apoyo económico para el combate al rezago educativo de las infancias indígenas,Apoyos sociales,2,Apoyos sociales,Apoyo económico para el combate al rezago educativo de las infancias indígenas,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-S025,Los Jóvenes Unen al Barrio,Apoyos sociales,2,Apoyos sociales,Los Jóvenes Unen al Barrio,Apoyo a jóvenes en barrios vulnerables.,explicit
L2-S227,"Bienestar para Niñas y Niños, Mi Beca para Empezar",Educación,2,Educación,Mi Beca para Empezar,Apoyo universal a estudiantes de escuelas públicas de educación básica.,explicit
L2-S185,Escuelas de música de la alcaldía Iztacalco,Educación,2,Educación,Escuelas de música de la alcaldía Iztacalco,Se clasifica en Educación por regla de palabra clave sobre el nombre del programa.,keyword
L2-F014,Promoción y fomento de las sociedades cooperativas,Apoyos sociales,2,Apoyos sociales,Promoción y fomento de las sociedades cooperativas,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Otros Asuntos Sociales').,funcion
L2-E110,Atención telefónica sobre servicios de no emergencia,Seguridad,2,Seguridad,Atención telefónica sobre servicios de no emergencia,Se clasifica en Seguridad por regla de palabra clave sobre el nombre del programa.,keyword
L2-K007,Sistema de transporte público Cablebús,Transporte público,2,Transporte público,Sistema de transporte público Cablebús,Se clasifica en Transporte público por regla de palabra clave sobre el nombre del programa.,keyword
L2-E184,"Servicio de Drenaje, Alcantarillado y Saneamiento",Agua,2,Agua,"Drenaje, Alcantarillado y Saneamiento",SACMEX — operación del drenaje profundo y saneamiento.,explicit
L2-E073,Operación del museo del estanquillo,Cultura y deporte,2,Cultura y deporte,Operación del museo del estanquillo,Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-G014,Regulación y registro de establecimientos mercantiles en materia económica,Gobierno y administración,2,Gobierno y administración,Regulación y registro de establecimientos mercantiles en materia económica,Se clasifica en Gobierno y administración por regla de palabra clave sobre el nombre del programa.,keyword
L2-E066,Servicios de Salud del Primer Nivel,Salud,2,Salud,Servicios de Salud del Primer Nivel,Centros de salud comunitarios — atención primaria.,explicit
L2-S223,"Otorgamiento de Ayudas Sociales para Pueblos, Barrios y Comunidades Indígenas Residentes",Apoyos sociales,2,Apoyos sociales,Pueblos y Comunidades Indígenas,Ayudas sociales para pueblos y comunidades indígenas residentes.,explicit
L2-U048,Apoyos sociales,Apoyos sociales,2,Apoyos sociales,Apoyos Sociales,Apoyos sociales complementarios.,explicit
L2-S134,Huellas: Sembrando Compañía en Comunidad,Apoyos sociales,2,Apoyos sociales,Huellas: Sembrando Compañía en Comunidad,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-O001,Actividades de apoyo a la función pública y buen gobierno,Transporte público,2,Transporte público,Actividades de apoyo a la función pública y buen gobierno,Se clasifica en Transporte público por fallback sobre desc_funcion ('Transporte').,funcion
L2-E095,Fortalecimiento para el acceso a posgrados e investigación,Educación,2,Educación,Fortalecimiento para el acceso a posgrados e investigación,Se clasifica en Educación por fallback sobre desc_funcion ('Educación').,funcion
L2-S224,Beca Pilares Bienestar,Educación,2,Educación,Beca Pilares Bienestar,Becas para participantes en Pilares.,explicit
L2-F023,Promoción y difusión de acciones de gobierno,Gobierno y administración,2,Gobierno y administración,Promoción y difusión de acciones de gobierno,Se clasifica en Gobierno y administración por fallback sobre desc_funcion ('Otros Servicios Generales').,funcion
L2-U021,Programa de atención a personas vulnerables,Apoyos sociales,2,Apoyos sociales,Programa de atención a personas vulnerables,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-S037,Programa atención a personas con discapacidad en unidades básicas de rehabilitación,Apoyos sociales,2,Apoyos sociales,Programa atención a personas con discapacidad en unidades básicas de rehabilitación,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-P020,Planeación y Seguimiento de la Política Gubernamental,Gobierno y administración,2,Gobierno y administración,Planeación Gubernamental,Planeación y seguimiento de la política gubernamental.,explicit
L2-E191,Fortalecimiento de Acciones para el Bienestar Social,Apoyos sociales,2,Apoyos sociales,Fortalecimiento del Bienestar Social,Acciones complementarias de política social.,explicit
L2-S093,Apoyo económico para el reconocimiento de las personas cuidadoras,Apoyos sociales,2,Apoyos sociales,Apoyo económico para el reconocimiento de las personas cuidadoras,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-E020,Centros de atención LUNAS,Justicia,2,Justicia,Centros de atención LUNAS,Se clasifica en Justicia por fallback sobre desc_funcion ('Justicia').,funcion
L2-S211,Atención a menores y madres en situación de vulnerabilidad,Apoyos sociales,2,Apoyos sociales,Atención a menores y madres en situación de vulnerabilidad,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-E200,Gobierno y seguridad en alcaldías,Gobierno y administración,2,Gobierno y administración,Gobierno y Seguridad en Alcaldías,Gobierno y seguridad a cargo de las alcaldías.,explicit
L2-P044,Acciones para la integración del transporte público,Transporte público,2,Transporte público,Acciones para la integración del transporte público,Se clasifica en Transporte público por regla de palabra clave sobre el nombre del programa.,keyword
L2-F018,Vinculación y fortalecimiento de la cultura y las artes,Cultura y deporte,2,Cultura y deporte,Vinculación y fortalecimiento de la cultura y las artes,Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-U020,Programa de atención a menores vulnerables,Apoyos sociales,2,Apoyos sociales,Programa de atención a menores vulnerables,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-E144,Apoyo integral para mujeres embarazadas y madres en situación de vulnerabilidad,Apoyos sociales,2,Apoyos sociales,Apoyo integral para mujeres embarazadas y madres en situación de vulnerabilidad,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-E152,Promoción de autocuidado y envejecimiento digno de las personas mayores y grupos de atención prioritaria,Apoyos sociales,2,Apoyos sociales,Promoción de autocuidado y envejecimiento digno de las personas mayores y grupos de atención prioritaria,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-E006,Acciones para proyectos ambientales,Medio ambiente,2,Medio ambiente,Proyectos Ambientales,Acciones para proyectos ambientales diversos.,explicit
L2-E166,Servicios Asistenciales a Personas Vulnerables,Apoyos sociales,2,Apoyos sociales,Asistencia a Personas Vulnerables,Servicios asistenciales a personas en situación vulnerable.,explicit
L2-E127,Prevención y control de enfermedades,Salud,2,Salud,Prevención y control de enfermedades,Se clasifica en Salud por regla de palabra clave sobre el nombre del programa.,keyword
L2-E080,Profesionalización de servidores públicos e investigación aplicada para la buena administración,Educación,2,Educación,Profesionalización de servidores públicos e investigación aplicada para la buena administración,Se clasifica en Educación por fallback sobre desc_funcion ('Educación').,funcion
L2-E137,Operación de centros de desarrollo infantil,Educación,2,Educación,Operación de centros de desarrollo infantil,Se clasifica en Educación por fallback sobre desc_funcion ('Educación').,funcion
L2-E187,Servicios Públicos,Calles y banquetas,2,Calles y banquetas,Servicios Públicos,Mantenimiento urbano integral en alcaldías.,explicit
L2-E002,Acciones de fortalecimiento para la procuración de justicia,Justicia,2,Justicia,Acciones de fortalecimiento para la procuración de justicia,Se clasifica en Justicia por regla de palabra clave sobre el nombre del programa.,keyword
L2-S180,Programa de desarrollo turístico PRODETUR,Otros,2,Otros,Programa de desarrollo turístico PRODETUR,Se clasifica en Otros por fallback sobre desc_funcion ('Turismo').,funcion
L2-E157,Atención y Orientación Telefónica sobre Trámites y Servicios,Gobierno y administración,2,Gobierno y administración,Atención Telefónica · Trámites,Atención y orientación telefónica sobre trámites.,explicit
L2-S186,Programa de apoyo integral a la mujer para la equidad (PAIME),Apoyos sociales,2,Apoyos sociales,Programa de apoyo integral a la mujer para la equidad (PAIME),Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-E086,Fortalecimiento a la Educación Media Superior,Educación,2,Educación,Educación Media Superior,Instituto de Educación Media Superior — preparatorias.,explicit
L2-P031,"Planeación, Seguimiento y Evaluación a Políticas Públicas para el Desarrollo de las Personas con Discapacidad",Apoyos sociales,2,Apoyos sociales,Políticas · Personas con Discapacidad,Planeación para personas con discapacidad.,explicit
L2-K001,Construcción y mejoramiento de la infraestructura de salud,Salud,2,Salud,Construcción y mejoramiento de la infraestructura de salud,Se clasifica en Salud por regla de palabra clave sobre el nombre del programa.,keyword
L2-S005,Atención Prioritaria a Personas Egresadas del Sistema de Justicia Penal,Justicia,2,Justicia,Personas Egresadas del Sistema Penal · Apoyos,Atención prioritaria a personas egresadas del sistema penal.,explicit
L2-K021,"Construcción, Ampliación y Mejoramiento de Infraestructura y Edificios Públicos",Gobierno y administración,2,Gobierno y administración,Construcción y Mejora de Edificios Públicos,Obra en edificios de gobierno.,explicit
L2-E046,Prevención y atención de la discriminación,Justicia,2,Justicia,Prevención y atención de la discriminación,Se clasifica en Justicia por fallback sobre desc_funcion ('Justicia').,funcion
L2-E088,Operación y mantenimiento de la red de transporte de pasajeros (RTP),Transporte público,2,Transporte público,Operación y mantenimiento de la red de transporte de pasajeros (RTP),Se clasifica en Transporte público por fallback sobre desc_funcion ('Transporte').,funcion
L2-S008,Ciberescuelas en PILARES,Educación,2,Educación,Ciberescuelas en PILARES,Se clasifica en Educación por regla de palabra clave sobre el nombre del programa.,keyword
L2-S018,"Estímulos económicos a las asociaciones deportivas que participan en la olimpiada, paralimpiada y nacional juvenil",Basura y limpia,2,Basura y limpia,"Estímulos económicos a las asociaciones deportivas que participan en la olimpiada, paralimpiada y nacional juvenil",Se clasifica en Basura y limpia por regla de palabra clave sobre el nombre del programa.,keyword
L2-S026,Mejor escuela,Educación,2,Educación,Mejor escuela,Se clasifica en Educación por regla de palabra clave sobre el nombre del programa.,keyword
L2-G077,"Regulación Sanitaria en Establecimientos, Productos, Actividades, Servicios y Personas",Salud,2,Salud,Regulación Sanitaria,COEPRIS — regulación sanitaria en establecimientos.,explicit
L2-E159,Educación y Divulgación Ambiental,Medio ambiente,2,Medio ambiente,Educación y Divulgación Ambiental,Campañas y programas de educación ambiental.,explicit
L2-E097,"Acciones de Búsqueda, Localización e Identificación de Personas",Justicia,2,Justicia,Búsqueda de Personas,Comisión de Búsqueda — localización e identificación de personas.,explicit
L2-E119,Fortalecimiento en materia jurídica,Gobierno y administración,2,Gobierno y administración,Fortalecimiento en materia jurídica,Se clasifica en Gobierno y administración por fallback sobre desc_funcion ('Coordinación de la Política de Gobierno').,funcion
L2-U019,"SÍ al desarme, sí a la paz",Seguridad,2,Seguridad,"Sí al Desarme, Sí a la Paz",Programa de desarme voluntario.,explicit
L2-E148,Entre la Calle y el Hogar,Calles y banquetas,2,Calles y banquetas,Entre la Calle y el Hogar,Se clasifica en Calles y banquetas por regla de palabra clave sobre el nombre del programa.,keyword
L2-S235,Apoyos para el Cuidado del Adulto Mayor,Apoyos sociales,2,Apoyos sociales,Cuidado del Adulto Mayor,Apoyos para cuidadores de adultos mayores.,explicit
L2-E078,Atención Médica de Urgencias,Salud,2,Salud,Atención Médica de Urgencias,Se clasifica en Salud por regla de palabra clave sobre el nombre del programa.,keyword
L2-P017,Acciones para la transversalización del enfoque de derechos humanos,Apoyos sociales,2,Apoyos sociales,Enfoque de Derechos Humanos,Transversalización del enfoque de derechos humanos.,explicit
L2-E101,"Atención Integral en espacios de refugio a mujeres, hijas e hijos en situación de violencia extrema y promover el ejercicio de sus derechos",Apoyos sociales,2,Apoyos sociales,"Atención Integral en espacios de refugio a mujeres, hijas e hijos en situación de violencia extrema y promover el ejercicio de sus derechos",Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-E123,Manejo integral de residuos sólidos urbanos en alcaldías,Basura y limpia,2,Basura y limpia,Manejo integral de residuos sólidos urbanos en alcaldías,Se clasifica en Basura y limpia por regla de palabra clave sobre el nombre del programa.,keyword
L2-R002,Presupuesto Participativo,Apoyos sociales,2,Apoyos sociales,Presupuesto Participativo,Recursos ejercidos por decisión vecinal.,explicit
L2-E061,"Salud materna, sexual y reproductiva",Salud,2,Salud,"Salud materna, sexual y reproductiva",Se clasifica en Salud por regla de palabra clave sobre el nombre del programa.,keyword
L2-E063,Seguridad procesal,Educación,2,Educación,Seguridad procesal,Se clasifica en Educación por fallback sobre desc_funcion ('Educación').,funcion
L2-P003,"Planeación, Seguimiento y Evaluación A Políticas Públicas",Gobierno y administración,2,Gobierno y administración,Evaluación de Políticas Públicas,"Planeación, seguimiento y evaluación.",explicit
L2-F022,"Desarrollo, promoción y posicionamiento de la Ciudad de México y su marca CDMX",Otros,2,Otros,Marca CDMX,Promoción y posicionamiento de la Marca CDMX.,explicit
L2-E014,Atención a personas adultas privadas de su libertad y en procedimiento legal,Justicia,2,Justicia,Atención a personas adultas privadas de su libertad y en procedimiento legal,Se clasifica en Justicia por fallback sobre desc_funcion ('Justicia').,funcion
L2-E025,Formación continua para policías preventivos,Seguridad,2,Seguridad,Formación continua para policías preventivos,Se clasifica en Seguridad por regla de palabra clave sobre el nombre del programa.,keyword
L2-S101,Apoyo económico para la atención emergente en materia de salud de las personas trans,Salud,2,Salud,Apoyo económico para la atención emergente en materia de salud de las personas trans,Se clasifica en Salud por regla de palabra clave sobre el nombre del programa.,keyword
L2-E087,Fortalecimiento a la educación básica,Educación,2,Educación,Fortalecimiento a la educación básica,Se clasifica en Educación por regla de palabra clave sobre el nombre del programa.,keyword
L2-K018,Rehabilitación y mejoramiento de los mercados públicos de la Ciudad de México,Apoyos sociales,2,Apoyos sociales,Rehabilitación y mejoramiento de los mercados públicos de la Ciudad de México,"Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Asuntos Económicos, Comerciales y Laborales en General').",funcion
L2-K016,Rehabilitación y mantenimiento de infraestructura pública,Calles y banquetas,2,Calles y banquetas,Rehabilitación y mantenimiento de infraestructura pública,Se clasifica en Calles y banquetas por fallback sobre desc_funcion ('Vivienda y Servicios a la Comunidad').,funcion
L2-U038,Apoyos para Promover la Igualdad y No Discriminación,Apoyos sociales,2,Apoyos sociales,Igualdad y No Discriminación,Apoyos para promover igualdad y no discriminación.,explicit
L2-E181,Fortalecimiento para el Acceso a la Educación Superior y Posgrados,Educación,2,Educación,Educación Superior y Posgrados,Universidad Rosario Castellanos y apoyos a educación superior.,explicit
L2-E197,"Ponte Pila, Deporte Comunitario para el Bienestar",Cultura y deporte,2,Cultura y deporte,Ponte Pila · Deporte Comunitario,Deporte comunitario — Ponte Pila.,explicit
L2-S234,Programa de Apoyo para el Bienestar Familiar,Apoyos sociales,2,Apoyos sociales,Apoyo para el Bienestar Familiar,Programa de apoyo directo a familias.,explicit
L2-E190,Servicios de Atención Animal,Parques y espacios públicos,2,Parques y espacios públicos,Atención Animal,Servicios y clínicas de atención animal.,explicit
L2-S056,Apoyo a mujeres en situación de violencia de género,Apoyos sociales,2,Apoyos sociales,Mujeres en Situación de Violencia,Apoyo a mujeres en situación de violencia de género.,explicit
L2-S061,Vivienda en Conjunto,Apoyos sociales,2,Apoyos sociales,Vivienda en Conjunto,INVI — vivienda social nueva.,explicit
L2-F037,"Turismo, Empleo y Fomento Económico",Otros,2,Otros,"Turismo, Empleo y Fomento Económico","Programa de turismo, empleo y fomento económico.",explicit
L2-F024,"Acciones de educación, prevención y atención de políticas de seguridad vial",Educación,2,Educación,"Acciones de educación, prevención y atención de políticas de seguridad vial",Se clasifica en Educación por regla de palabra clave sobre el nombre del programa.,keyword
L2-E195,"Prestaciones Sociales a Jubilados, Pensionados y Personal Activo",Gobierno y administración,2,Gobierno y administración,Prestaciones a Jubilados y Personal Activo,Prestaciones sociales a jubilados y personal activo.,explicit
L2-E126,Producción de contenido cultural y artístico en alcaldías,Cultura y deporte,2,Cultura y deporte,Producción de contenido cultural y artístico en alcaldías,Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-S226,Beca Leona Vicario,Educación,2,Educación,Beca Leona Vicario,Beca para estudiantes en situación de vulnerabilidad.,explicit
L2-K010,"Construcción, mantenimiento y ampliación de edificios públicos",Calles y banquetas,2,Calles y banquetas,"Construcción, mantenimiento y ampliación de edificios públicos","Se clasifica en Calles y banquetas por fallback sobre desc_funcion ('Minería, Manufacturas y Construcción').",funcion
L2-P052,"Dictámenes, lineamientos y coordinación de programas, estrategias y proyectos del Gobierno de la Ciudad de México",Gobierno y administración,2,Gobierno y administración,"Dictámenes, lineamientos y coordinación de programas, estrategias y proyectos del Gobierno de la Ciudad de México",Se clasifica en Gobierno y administración por fallback sobre desc_funcion ('Coordinación de la Política de Gobierno').,funcion
L2-N005,"Gestión Integral de Riesgos, Atención a Siniestros, Emergencias y Desastres",Seguridad,2,Seguridad,Gestión de Riesgos y Emergencias,"Atención a siniestros, desastres y protección civil.",explicit
L2-E003,"Acciones de Obras y Servicios para la Recuperación, Promoción y Protección del Centro Histórico",Cultura y deporte,2,Cultura y deporte,Centro Histórico · Obras y Servicios,Obras de recuperación y conservación del Centro Histórico.,explicit
L2-B001,Producción y Comercialización de Mezclas Asfálticas,Calles y banquetas,2,Calles y banquetas,Producción de Mezclas Asfálticas,Planta de Mezclas Asfálticas — insumo para el bacheo de la ciudad.,explicit
L2-S047,"Programa mejoramiento barrial y comunitario, Tequio Barrio",Apoyos sociales,2,Apoyos sociales,Mejoramiento Barrial — Tequio Barrio,Obras comunitarias priorizadas por vecinos.,explicit
L2-E198,Servicios de Cuidado Infantil,Apoyos sociales,2,Apoyos sociales,Cuidado Infantil,CACIS — servicios de cuidado infantil.,explicit
L2-E102,Profesionalización de servidores públicos de la salud,Salud,2,Salud,Profesionalización de servidores públicos de la salud,Se clasifica en Salud por regla de palabra clave sobre el nombre del programa.,keyword
L2-F031,"Organización de eventos cívicos, festividades patrias y tradiciones",Cultura y deporte,2,Cultura y deporte,"Organización de eventos cívicos, festividades patrias y tradiciones","Se clasifica en Cultura y deporte por fallback sobre desc_funcion ('Recreación, Cultura y Otras Manifestaciones Sociales').",funcion
L2-U029,Cuidados Alternativos,Apoyos sociales,2,Apoyos sociales,Cuidados Alternativos,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-K020,"Construcción, Ampliación y Mejoramiento de Infraestructura Urbana",Calles y banquetas,2,Calles y banquetas,Construcción de Infraestructura Urbana,Obra urbana de SOBSE — vialidades y espacio público.,explicit
L2-S103,Ayuda económica y bienestar integral para personas adultas mayores de 60 a 64 años que residen en Iztapalapa,Apoyos sociales,2,Apoyos sociales,Ayuda económica y bienestar integral para personas adultas mayores de 60 a 64 años que residen en Iztapalapa,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-S137,Cultivando comunidad con la participación ciudadana,Apoyos sociales,2,Apoyos sociales,Cultivando comunidad con la participación ciudadana,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-E145,Aprende y crea diferente,Educación,2,Educación,Aprende y crea diferente,Se clasifica en Educación por fallback sobre desc_funcion ('Educación').,funcion
L2-F026,"Fomento sanitario en establecimientos, productos, actividades, servicios y personas",Salud,2,Salud,"Fomento sanitario en establecimientos, productos, actividades, servicios y personas",Se clasifica en Salud por fallback sobre desc_funcion ('Salud').,funcion
L2-E174,Prevención de Enfermedades y Promoción a la Salud para el Bienestar,Salud,2,Salud,Prevención de Enfermedades,Programas de prevención y promoción de la salud para el bienestar.,explicit
L2-K005,Mejoramiento y mantenimiento de la infraestructura urbana,Calles y banquetas,2,Calles y banquetas,Mejoramiento y mantenimiento de la infraestructura urbana,Se clasifica en Calles y banquetas por regla de palabra clave sobre el nombre del programa.,keyword
L2-S030,Programa apoyo económico a policías y bomberos pensionados de la CAPREPOL con discapacidad permanente,Seguridad,2,Seguridad,Programa apoyo económico a policías y bomberos pensionados de la CAPREPOL con discapacidad permanente,Se clasifica en Seguridad por regla de palabra clave sobre el nombre del programa.,keyword
L2-S221,Comedores para el Bienestar,Apoyos sociales,2,Apoyos sociales,Comedores para el Bienestar,Red de comedores comunitarios y públicos.,explicit
L2-E112,Operación y promoción de movilidad sustentable,Transporte público,2,Transporte público,Operación y promoción de movilidad sustentable,Se clasifica en Transporte público por regla de palabra clave sobre el nombre del programa.,keyword
L2-P048,"Planeación, seguimiento y evaluación a políticas públicas en alcaldías",Gobierno y administración,2,Gobierno y administración,"Planeación, seguimiento y evaluación a políticas públicas en alcaldías",Se clasifica en Gobierno y administración por regla de palabra clave sobre el nombre del programa.,keyword
L2-K004,Infraestructura de transporte público,Transporte público,2,Transporte público,Infraestructura de transporte público,Se clasifica en Transporte público por regla de palabra clave sobre el nombre del programa.,keyword
L2-E094,Fortalecimiento para el acceso a la educación superior,Educación,2,Educación,Fortalecimiento para el acceso a la educación superior,Se clasifica en Educación por regla de palabra clave sobre el nombre del programa.,keyword
L2-E194,Atención a Personas Sujetas al Sistema Integral de Justicia para Adolescentes,Justicia,2,Justicia,Sistema Integral de Justicia para Adolescentes,Atención de adolescentes en conflicto con la ley.,explicit
L2-E065,Servicio Integral de Operación y Atención a Emergencias,Seguridad,2,Seguridad,Emergencias · Atención Integral,Servicio Integral de Operación y Atención a Emergencias.,explicit
L2-F003,"Convenios en materia de educación, innovación, ciencia y tecnología",Educación,2,Educación,"Convenios en materia de educación, innovación, ciencia y tecnología",Se clasifica en Educación por regla de palabra clave sobre el nombre del programa.,keyword
L2-E153,Programa para la Formación de Profesionales de la Salud,Salud,2,Salud,Formación de Profesionales de la Salud,Universidad de la Salud y formación médica.,explicit
L2-O008,Seguimiento a la Política de Legalidad,Gobierno y administración,2,Gobierno y administración,Seguimiento a la Legalidad,Seguimiento a la política de legalidad.,explicit
L2-S205,"Prevención del embarazo adolescente, Tlalpan",Salud,2,Salud,"Prevención del embarazo adolescente, Tlalpan",Se clasifica en Salud por fallback sobre desc_funcion ('Salud').,funcion
L2-S029,"Ponte pila, deporte comunitario",Cultura y deporte,2,Cultura y deporte,"Ponte pila, deporte comunitario",Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-P004,Promoción integral para el cumplimiento de los derechos de la niñez y de la adolescencia,Apoyos sociales,2,Apoyos sociales,Promoción integral para el cumplimiento de los derechos de la niñez y de la adolescencia,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-E114,Atención y seguimiento especial a grupos vulnerables víctimas de la violencia,Apoyos sociales,2,Apoyos sociales,Atención y seguimiento especial a grupos vulnerables víctimas de la violencia,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-E107,Conservación y operación de zoológicos,Parques y espacios públicos,2,Parques y espacios públicos,Zoológicos,Conservación y operación de zoológicos.,explicit
L2-E075,Gestión y operación del museo de historia natural y cultura ambiental,Medio ambiente,2,Medio ambiente,Gestión y operación del museo de historia natural y cultura ambiental,Se clasifica en Medio ambiente por regla de palabra clave sobre el nombre del programa.,keyword
L2-G018,"Gestión y regulación de sistemas de movilidad y transporte, y estacionamientos",Transporte público,2,Transporte público,"Gestión y regulación de sistemas de movilidad y transporte, y estacionamientos",Se clasifica en Transporte público por regla de palabra clave sobre el nombre del programa.,keyword
L2-O002,Impulso a la transparencia y rendición de cuentas,Gobierno y administración,2,Gobierno y administración,Impulso a la transparencia y rendición de cuentas,Se clasifica en Gobierno y administración por fallback sobre desc_funcion ('Asuntos Financieros y Hacendarios').,funcion
L2-S064,Desarrollo integral de las Personas con Discapacidad,Apoyos sociales,2,Apoyos sociales,Desarrollo integral de las Personas con Discapacidad,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-G005,Regulación de Corredores de Transporte Público y Centros de Transferencia Modal,Transporte público,2,Transporte público,Regulación de Transporte Público y CETRAM,Regulación de corredores y centros de transferencia modal.,explicit
L2-E084,Servicios Integrales Metropolitanos,Transporte público,2,Transporte público,Servicios Integrales Metropolitanos,Coordinación con Edomex en transporte metropolitano.,explicit
L2-S004,Apoyos para el desarrollo integral de los jóvenes,Apoyos sociales,2,Apoyos sociales,Desarrollo Integral de Jóvenes,Programa de desarrollo juvenil.,explicit
L2-E017,Atención Médica a Personas Privadas de su Libertad y en Procedimiento Legal,Justicia,2,Justicia,Atención Médica a Personas Privadas de Libertad,Servicios médicos dentro del sistema penitenciario.,explicit
L2-E167,Servicios Integrales de Movilidad Pública y Privada,Transporte público,2,Transporte público,Movilidad Pública y Privada,"Servicios integrales de movilidad — taxis, apps, concesionarios.",explicit
L2-S117,El Gobierno de los Pueblos en Apoyo a Universitarios,Apoyos sociales,2,Apoyos sociales,El Gobierno de los Pueblos en Apoyo a Universitarios,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Otros Asuntos Sociales').,funcion
L2-S123,Programa de Fortalecimiento Sectorial (PROFOSEC),Apoyos sociales,2,Apoyos sociales,Programa de Fortalecimiento Sectorial (PROFOSEC),Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-F032,Promoción de la cultura física y deportiva,Cultura y deporte,2,Cultura y deporte,Promoción de la cultura física y deportiva,Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-D001,Servicio de la Deuda,Deuda,2,Deuda,Servicio de la Deuda,Pago de intereses y amortización de la deuda pública.,explicit
L2-E117,Mantenimiento de espacios públicos en alcaldías,Parques y espacios públicos,2,Parques y espacios públicos,Mantenimiento de espacios públicos en alcaldías,Se clasifica en Parques y espacios públicos por regla de palabra clave sobre el nombre del programa.,keyword
L2-E091,Operación y mantenimiento de la central de abastos,Apoyos sociales,2,Apoyos sociales,Operación y mantenimiento de la central de abastos,"Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Asuntos Económicos, Comerciales y Laborales en General').",funcion
L2-U026,Apoyos económicos y otras ayudas sociales,Apoyos sociales,2,Apoyos sociales,Apoyos económicos y otras ayudas sociales,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-G019,"Control, ordenamiento y sistematización del transporte",Transporte público,2,Transporte público,"Control, ordenamiento y sistematización del transporte",Se clasifica en Transporte público por fallback sobre desc_funcion ('Transporte').,funcion
L2-U007,Financiamiento para el acceso a la vivienda,Apoyos sociales,2,Apoyos sociales,Financiamiento para el acceso a la vivienda,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
